c_acc_number,cqr_longitude,cqr_latitude,zone_name_from_coordinates,cqr_acc_id_org,isthecustomeravailable,trw_id
NEWACCOUNT-36.081387139856815,36.08138714,-0.297398983,Southern Zone,-1,NO,46698
NEWACCOUNT-36.081388145685196,36.08138815,-0.303666548,Southern Zone,-1,NO,46699
NEWACCOUNT-36.081411615014076,36.08141162,-0.297324888,Southern Zone,-1,NO,46707
NEWACCOUNT-36.08141262084246,36.08141262,-0.304750481,Southern Zone,-1,NO,46708
NEWACCOUNT-36.08143206685781,36.08143207,-0.295108407,Southern Zone,-1,NO,46712
NEWACCOUNT-36.08144514262676,36.08144514,-0.300185089,Southern Zone,-1,NO,46715
NEWACCOUNT-36.08145385980606,36.08145386,-0.293612424,Southern Zone,-1,NO,46717
NEWACCOUNT-36.081456542015076,36.08145654,-0.297985373,Southern Zone,-1,NO,46718
NEWACCOUNT-36.081456542015076,36.08145654,-0.291610182,Southern Zone,-1,NO,46719
NEWACCOUNT-36.08146157115698,36.08146157,-0.297320194,Southern Zone,-1,NO,46722
NEWACCOUNT-36.081461906433105,36.08146191,-0.303985391,Southern Zone,-1,NO,46723
NEWACCOUNT-36.08146257698536,36.08146258,-0.293253684,Southern Zone,-1,NO,46724
NEWACCOUNT-36.08146425336599,36.08146425,-0.290503785,Southern Zone,-1,NO,46725
NEWACCOUNT-36.08146458864212,36.08146459,-0.291915614,Southern Zone,-1,NO,46726
NEWACCOUNT-36.08146492391825,36.08146492,-0.2976615,Southern Zone,-1,NO,46727
NEWACCOUNT-36.08146794140339,36.08146794,-0.297815055,Southern Zone,-1,NO,46729
NEWACCOUNT-36.081470623612404,36.08147062,-0.299202408,Southern Zone,-1,NO,46731
NEWACCOUNT-36.08147665858268,36.08147666,-0.303793281,Southern Zone,-1,NO,46732
NEWACCOUNT-36.08147799968719,36.081478,-0.302319428,Southern Zone,-1,NO,46733
NEWACCOUNT-36.08147833496332,36.08147833,-0.29663691,Southern Zone,-1,NO,46734
NEWACCOUNT-36.08148369938136,36.0814837,-0.293457529,Southern Zone,-1,NO,46737
